Input,Match type,Approved symbol,Approved name,HGNC ID,Location
NEUROD4,Approved symbol,NEUROD4,neuronal differentiation 4,HGNC:13802,12q13.13
NEUROD6,Approved symbol,NEUROD6,neuronal differentiation 6,HGNC:13804,7p14.3
NEUROG1,Approved symbol,NEUROG1,neurogenin 1,HGNC:7764,5q31.1
NEUROG2,Approved symbol,NEUROG2,neurogenin 2,HGNC:13805,4q25
NEUROG3,Approved symbol,NEUROG3,neurogenin 3,HGNC:13806,10q22.1
NEXN,Approved symbol,NEXN,nexilin F-actin binding protein,HGNC:29557,1p31.1
NF1P1,Approved symbol,NF1P1,neurofibromin 1 pseudogene 1,HGNC:7772,15q11.2
NF1,Approved symbol,NF1,neurofibromin 1,HGNC:7765,17q11.2
NF2,Approved symbol,NF2,neurofibromin 2,HGNC:7773,22q12.2
NFAM1,Approved symbol,NFAM1,NFAT activating protein with ITAM motif 1,HGNC:29872,22q13.2
NFASC,Approved symbol,NFASC,neurofascin,HGNC:29866,1q32.1
NFAT5,Approved symbol,NFAT5,nuclear factor of activated T cells 5,HGNC:7774,16q22.1
NFATC1,Approved symbol,NFATC1,nuclear factor of activated T cells 1,HGNC:7775,18q23
NFATC2IP,Approved symbol,NFATC2IP,nuclear factor of activated T cells 2 interacting protein,HGNC:25906,16p11.2
NFATC2,Approved symbol,NFATC2,nuclear factor of activated T cells 2,HGNC:7776,20q13.2
NFATC3,Approved symbol,NFATC3,nuclear factor of activated T cells 3,HGNC:7777,16q22.1
NFATC4,Approved symbol,NFATC4,nuclear factor of activated T cells 4,HGNC:7778,14q12
NFE2L1,Approved symbol,NFE2L1,"nuclear factor, erythroid 2 like 1",HGNC:7781,17q21.3
NFE2L2,Approved symbol,NFE2L2,"nuclear factor, erythroid 2 like 2",HGNC:7782,2q31.2
NFE2L3,Approved symbol,NFE2L3,"nuclear factor, erythroid 2 like 3",HGNC:7783,7p15.2
NFE2,Approved symbol,NFE2,"nuclear factor, erythroid 2",HGNC:7780,12q13
NFIA,Approved symbol,NFIA,nuclear factor I A,HGNC:7784,1p31.3
NFIB,Approved symbol,NFIB,nuclear factor I B,HGNC:7785,9p23-p22.3
NFIC,Approved symbol,NFIC,nuclear factor I C,HGNC:7786,19p13.3
NFIL3,Approved symbol,NFIL3,"nuclear factor, interleukin 3 regulated",HGNC:7787,9q22.31
NFIX,Approved symbol,NFIX,nuclear factor I X,HGNC:7788,19p13.13
NFKB1,Approved symbol,NFKB1,nuclear factor kappa B subunit 1,HGNC:7794,4q24
NFKB2,Approved symbol,NFKB2,nuclear factor kappa B subunit 2,HGNC:7795,10q24.32
NFKBIA,Approved symbol,NFKBIA,NFKB inhibitor alpha,HGNC:7797,14q13.2
NFKBIB,Approved symbol,NFKBIB,NFKB inhibitor beta,HGNC:7798,19q13.1
NFKBID,Approved symbol,NFKBID,NFKB inhibitor delta,HGNC:15671,19q13.12
NFKBIE,Approved symbol,NFKBIE,NFKB inhibitor epsilon,HGNC:7799,6p21.1
NFKBIL1,Approved symbol,NFKBIL1,NFKB inhibitor like 1,HGNC:7800,6p21.33
NFKBIL2,Previous symbol,TONSL,"tonsoku like, DNA repair protein",HGNC:7801,8q24.3
NFKBIZ,Approved symbol,NFKBIZ,NFKB inhibitor zeta,HGNC:29805,3q12.3
NFRKB,Approved symbol,NFRKB,nuclear factor related to kappaB binding protein,HGNC:7802,11q24.3
NFS1,Approved symbol,NFS1,"NFS1, cysteine desulfurase",HGNC:15910,20q11.22
NFU1,Approved symbol,NFU1,NFU1 iron-sulfur cluster scaffold,HGNC:16287,2p13.3
NFX1,Approved symbol,NFX1,"nuclear transcription factor, X-box binding 1",HGNC:7803,9p12
NFXL1,Approved symbol,NFXL1,"nuclear transcription factor, X-box binding like 1",HGNC:18726,4p12
NFYA,Approved symbol,NFYA,nuclear transcription factor Y subunit alpha,HGNC:7804,6p21.1
NFYB,Approved symbol,NFYB,nuclear transcription factor Y subunit beta,HGNC:7805,12q23.3
NFYC,Approved symbol,NFYC,nuclear transcription factor Y subunit gamma,HGNC:7806,1p34.2
NGB,Approved symbol,NGB,neuroglobin,HGNC:14077,14q24.3
NGB,Synonyms,GTPBP4,GTP binding protein 4,HGNC:21535,10p15.3
NGDN,Approved symbol,NGDN,neuroguidin,HGNC:20271,14q11.2
NGEF,Approved symbol,NGEF,neuronal guanine nucleotide exchange factor,HGNC:7807,2q37.1
NGFRAP1,Previous symbol,BEX3,brain expressed X-linked 3,HGNC:13388,Xq22.2
NGFR,Approved symbol,NGFR,nerve growth factor receptor,HGNC:7809,17q21.33
NGF,Approved symbol,NGF,nerve growth factor,HGNC:7808,1p13.2
NGLY1,Approved symbol,NGLY1,N-glycanase 1,HGNC:17646,3p24.2
NGRN,Approved symbol,NGRN,"neugrin, neurite outgrowth associated",HGNC:18077,15q26.1
NHEDC1,Previous symbol,SLC9B1,solute carrier family 9 member B1,HGNC:24244,4q24
NHEDC2,Previous symbol,SLC9B2,solute carrier family 9 member B2,HGNC:25143,4q24
NHEG1,Unmatched,,,,
NHEJ1,Approved symbol,NHEJ1,non-homologous end joining factor 1,HGNC:25737,2q35
NHLH1,Approved symbol,NHLH1,nescient helix-loop-helix 1,HGNC:7817,1q23.2
NHLH2,Approved symbol,NHLH2,nescient helix-loop-helix 2,HGNC:7818,1p13.1
NHLRC1,Approved symbol,NHLRC1,NHL repeat containing E3 ubiquitin protein ligase 1,HGNC:21576,6p22.3
NHLRC2,Approved symbol,NHLRC2,NHL repeat containing 2,HGNC:24731,10q25.3
NHLRC3,Approved symbol,NHLRC3,NHL repeat containing 3,HGNC:33751,13q13.3
NHLRC4,Approved symbol,NHLRC4,NHL repeat containing 4,HGNC:26700,16p13.3
NHP2L1,Previous symbol,SNU13,small nuclear ribonucleoprotein 13,HGNC:7819,22q13.2
NHP2,Approved symbol,NHP2,NHP2 ribonucleoprotein,HGNC:14377,5q35.3
NHSL1,Approved symbol,NHSL1,NHS like 1,HGNC:21021,6q24.1
NHSL2,Approved symbol,NHSL2,NHS like 2,HGNC:33737,Xq13.1
NHS,Approved symbol,NHS,NHS actin remodeling regulator,HGNC:7820,Xp22.2-p22.13
NICN1,Approved symbol,NICN1,nicolin 1,HGNC:18317,3p21.31
NID1,Approved symbol,NID1,nidogen 1,HGNC:7821,1q42.3
NID2,Approved symbol,NID2,nidogen 2,HGNC:13389,14q22.1
NIF3L1,Approved symbol,NIF3L1,NGG1 interacting factor 3 like 1,HGNC:13390,2q33.1
NINJ1,Approved symbol,NINJ1,ninjurin 1,HGNC:7824,9q22.31
NINJ2,Approved symbol,NINJ2,ninjurin 2,HGNC:7825,12p13.33
NINL,Approved symbol,NINL,ninein like,HGNC:29163,20p11.21
NIN,Approved symbol,NIN,ninein,HGNC:14906,14q22.1
NIP7,Approved symbol,NIP7,"NIP7, nucleolar pre-rRNA processing protein",HGNC:24328,16q22.1
NIPA1,Approved symbol,NIPA1,NIPA magnesium transporter 1,HGNC:17043,15q11.2
NIPA2,Approved symbol,NIPA2,NIPA magnesium transporter 2,HGNC:17044,15q11.2
NIPAL1,Approved symbol,NIPAL1,NIPA like domain containing 1,HGNC:27194,4p12
NIPAL2,Approved symbol,NIPAL2,NIPA like domain containing 2,HGNC:25854,8q22.2
NIPAL3,Approved symbol,NIPAL3,NIPA like domain containing 3,HGNC:25233,1p36.11
NIPAL4,Approved symbol,NIPAL4,NIPA like domain containing 4,HGNC:28018,5q33.3
NIPBL,Approved symbol,NIPBL,"NIPBL, cohesin loading factor",HGNC:28862,5p13.2
NIPSNAP1,Approved symbol,NIPSNAP1,nipsnap homolog 1,HGNC:7827,22q12.2
NIPSNAP3A,Approved symbol,NIPSNAP3A,nipsnap homolog 3A,HGNC:23619,9q31.1
NIPSNAP3B,Approved symbol,NIPSNAP3B,nipsnap homolog 3B,HGNC:23641,9q31.1
NISCH,Approved symbol,NISCH,nischarin,HGNC:18006,3p21.1
NIT1,Approved symbol,NIT1,nitrilase 1,HGNC:7828,1q23.3
NIT2,Approved symbol,NIT2,nitrilase family member 2,HGNC:29878,3q12.2
NKAIN1,Approved symbol,NKAIN1,sodium/potassium transporting ATPase interacting 1,HGNC:25743,1p35.2
NKAIN2,Approved symbol,NKAIN2,sodium/potassium transporting ATPase interacting 2,HGNC:16443,6q22.31
NKAIN3,Approved symbol,NKAIN3,sodium/potassium transporting ATPase interacting 3,HGNC:26829,8q12.3
NKAIN4,Approved symbol,NKAIN4,sodium/potassium transporting ATPase interacting 4,HGNC:16191,20q13.33
NKAPL,Approved symbol,NKAPL,NFKB activating protein like,HGNC:21584,6p22.1
NKAP,Approved symbol,NKAP,NFKB activating protein,HGNC:29873,Xq24
NKD1,Approved symbol,NKD1,"NKD1, WNT signaling pathway inhibitor",HGNC:17045,16q12.1
NKD2,Approved symbol,NKD2,"NKD2, WNT signaling pathway inhibitor",HGNC:17046,5p15.33
NKG7,Approved symbol,NKG7,natural killer cell granule protein 7,HGNC:7830,19q13.41
NKIRAS1,Approved symbol,NKIRAS1,NFKB inhibitor interacting Ras like 1,HGNC:17899,3p24.2
NKIRAS2,Approved symbol,NKIRAS2,NFKB inhibitor interacting Ras like 2,HGNC:17898,17q21.2
NKPD1,Approved symbol,NKPD1,NTPase KAP family P-loop domain containing 1,HGNC:24739,19q13.32
NKRF,Approved symbol,NKRF,NFKB repressing factor,HGNC:19374,Xq24
NKTR,Approved symbol,NKTR,natural killer cell triggering receptor,HGNC:7833,3p22.1
NKX1-2,Approved symbol,NKX1-2,NK1 homeobox 2,HGNC:31652,10q26.13
NKX2-1,Approved symbol,NKX2-1,NK2 homeobox 1,HGNC:11825,14q13.3
NKX2-2,Approved symbol,NKX2-2,NK2 homeobox 2,HGNC:7835,20p11.22
NKX2-3,Approved symbol,NKX2-3,NK2 homeobox 3,HGNC:7836,10q24.2
NKX2-4,Approved symbol,NKX2-4,NK2 homeobox 4,HGNC:7837,20p11.22
NKX2-5,Approved symbol,NKX2-5,NK2 homeobox 5,HGNC:2488,5q34
NKX2-6,Approved symbol,NKX2-6,NK2 homeobox 6,HGNC:32940,8p21.2
NKX2-8,Approved symbol,NKX2-8,NK2 homeobox 8,HGNC:16364,14q13.3
NKX3-1,Approved symbol,NKX3-1,NK3 homeobox 1,HGNC:7838,8p21.2
NKX3-2,Approved symbol,NKX3-2,NK3 homeobox 2,HGNC:951,4p15.33
NKX6-1,Approved symbol,NKX6-1,NK6 homeobox 1,HGNC:7839,4q21.23
NKX6-2,Approved symbol,NKX6-2,NK6 homeobox 2,HGNC:19321,10q26.3
NKX6-3,Approved symbol,NKX6-3,NK6 homeobox 3,HGNC:26328,8p11.21
NLE1,Approved symbol,NLE1,notchless homolog 1,HGNC:19889,17q12
NLGN1,Approved symbol,NLGN1,neuroligin 1,HGNC:14291,3q26.31
NLGN2,Approved symbol,NLGN2,neuroligin 2,HGNC:14290,17p13.1
NLGN3,Approved symbol,NLGN3,neuroligin 3,HGNC:14289,Xq13.1
NLGN4X,Approved symbol,NLGN4X,neuroligin 4 X-linked,HGNC:14287,Xp22.32-p22.31
NLGN4Y,Approved symbol,NLGN4Y,neuroligin 4 Y-linked,HGNC:15529,Yq11.221
NLK,Approved symbol,NLK,nemo like kinase,HGNC:29858,17q11.2
NLK,Synonyms,GPI,glucose-6-phosphate isomerase,HGNC:4458,19q13.11
NLN,Approved symbol,NLN,neurolysin,HGNC:16058,5q12.3
NLRC3,Approved symbol,NLRC3,NLR family CARD domain containing 3,HGNC:29889,16p13.3
NLRC4,Approved symbol,NLRC4,NLR family CARD domain containing 4,HGNC:16412,2p22.3
NLRC5,Approved symbol,NLRC5,NLR family CARD domain containing 5,HGNC:29933,16q13
NLRP10,Approved symbol,NLRP10,NLR family pyrin domain containing 10,HGNC:21464,11p15.4
NLRP11,Approved symbol,NLRP11,NLR family pyrin domain containing 11,HGNC:22945,19q13.43
NLRP12,Approved symbol,NLRP12,NLR family pyrin domain containing 12,HGNC:22938,19q13.42
NLRP13,Approved symbol,NLRP13,NLR family pyrin domain containing 13,HGNC:22937,19q13.43
NLRP14,Approved symbol,NLRP14,NLR family pyrin domain containing 14,HGNC:22939,11p15.4
NLRP1,Approved symbol,NLRP1,NLR family pyrin domain containing 1,HGNC:14374,17p13
NLRP2,Approved symbol,NLRP2,NLR family pyrin domain containing 2,HGNC:22948,19q13.42
NLRP3,Approved symbol,NLRP3,NLR family pyrin domain containing 3,HGNC:16400,1q44
NLRP4,Approved symbol,NLRP4,NLR family pyrin domain containing 4,HGNC:22943,19q13.43
NLRP5,Approved symbol,NLRP5,NLR family pyrin domain containing 5,HGNC:21269,19q13.43
NLRP6,Approved symbol,NLRP6,NLR family pyrin domain containing 6,HGNC:22944,11p15.5
NLRP7,Approved symbol,NLRP7,NLR family pyrin domain containing 7,HGNC:22947,19q13.42
NLRP8,Approved symbol,NLRP8,NLR family pyrin domain containing 8,HGNC:22940,19q13.43
NLRP9,Approved symbol,NLRP9,NLR family pyrin domain containing 9,HGNC:22941,19q13.43
NLRX1,Approved symbol,NLRX1,NLR family member X1,HGNC:29890,11q23.3
NMBR,Approved symbol,NMBR,neuromedin B receptor,HGNC:7843,6q24.1
NMB,Approved symbol,NMB,neuromedin B,HGNC:7842,15q25.2
NMB,Synonyms,GPNMB,glycoprotein nmb,HGNC:4462,7p15.3
NMD3,Approved symbol,NMD3,NMD3 ribosome export adaptor,HGNC:24250,3q26.1
NME1-NME2,Approved symbol,NME1-NME2,NME1-NME2 readthrough,HGNC:33531,17q21.33
NME1,Approved symbol,NME1,NME/NM23 nucleoside diphosphate kinase 1,HGNC:7849,17q21.33
NME1,Synonyms,RMRP,RNA component of mitochondrial RNA processing endoribonuclease,HGNC:10031,9p13.3
NME2P1,Approved symbol,NME2P1,NME/NM23 nucleoside diphosphate kinase 2 pseudogene 1,HGNC:31358,12q24.23
NME2,Approved symbol,NME2,NME/NM23 nucleoside diphosphate kinase 2,HGNC:7850,17q21.33
NME3,Approved symbol,NME3,NME/NM23 nucleoside diphosphate kinase 3,HGNC:7851,16p13.3
NME4,Approved symbol,NME4,NME/NM23 nucleoside diphosphate kinase 4,HGNC:7852,16p13.3
NME5,Approved symbol,NME5,NME/NM23 family member 5,HGNC:7853,5q31.2
NME6,Approved symbol,NME6,NME/NM23 nucleoside diphosphate kinase 6,HGNC:20567,3p21.31
NME7,Approved symbol,NME7,NME/NM23 family member 7,HGNC:20461,1q24.2
NMI,Approved symbol,NMI,N-myc and STAT interactor,HGNC:7854,2q23.3
NMNAT1,Approved symbol,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,HGNC:17877,1p36.22
NMNAT2,Approved symbol,NMNAT2,nicotinamide nucleotide adenylyltransferase 2,HGNC:16789,1q25.3
NMNAT3,Approved symbol,NMNAT3,nicotinamide nucleotide adenylyltransferase 3,HGNC:20989,3q23
NMRAL1,Approved symbol,NMRAL1,NmrA like redox sensor 1,HGNC:24987,16p13.3
NMS,Approved symbol,NMS,neuromedin S,HGNC:32203,2q11.2
NMT1,Approved symbol,NMT1,N-myristoyltransferase 1,HGNC:7857,17q21.31
NMT2,Approved symbol,NMT2,N-myristoyltransferase 2,HGNC:7858,10p13
NMUR1,Approved symbol,NMUR1,neuromedin U receptor 1,HGNC:4518,2q37.1
NMUR2,Approved symbol,NMUR2,neuromedin U receptor 2,HGNC:16454,5q33.1
NMU,Approved symbol,NMU,neuromedin U,HGNC:7859,4q12
NNAT,Approved symbol,NNAT,neuronatin,HGNC:7860,20q11.23
NNMT,Approved symbol,NNMT,nicotinamide N-methyltransferase,HGNC:7861,11q23.1
NNT,Approved symbol,NNT,nicotinamide nucleotide transhydrogenase,HGNC:7863,5p12
NOB1,Approved symbol,NOB1,NIN1 (RPN12) binding protein 1 homolog,HGNC:29540,16q22.1
NOBOX,Approved symbol,NOBOX,NOBOX oogenesis homeobox,HGNC:22448,7q35
NOC2L,Approved symbol,NOC2L,NOC2 like nucleolar associated transcriptional repressor,HGNC:24517,1p36.33
NOC3L,Approved symbol,NOC3L,NOC3 like DNA replication regulator,HGNC:24034,10q23.33
NOC4L,Approved symbol,NOC4L,nucleolar complex associated 4 homolog,HGNC:28461,12q24.33
NOD1,Approved symbol,NOD1,nucleotide binding oligomerization domain containing 1,HGNC:16390,7p14.3
NOD2,Approved symbol,NOD2,nucleotide binding oligomerization domain containing 2,HGNC:5331,16q12.1
NODAL,Approved symbol,NODAL,nodal growth differentiation factor,HGNC:7865,10q22.1
NOG,Approved symbol,NOG,noggin,HGNC:7866,17q22
NOL10,Approved symbol,NOL10,nucleolar protein 10,HGNC:25862,2p25.1
NOL11,Approved symbol,NOL11,nucleolar protein 11,HGNC:24557,17q24.2
NOL12,Approved symbol,NOL12,nucleolar protein 12,HGNC:28585,22q13.1
NOL3,Approved symbol,NOL3,nucleolar protein 3,HGNC:7869,16q22.1
NOL4,Approved symbol,NOL4,nucleolar protein 4,HGNC:7870,18q12.1
NOL6,Approved symbol,NOL6,nucleolar protein 6,HGNC:19910,9p13.3
NOL7,Approved symbol,NOL7,nucleolar protein 7,HGNC:21040,6p23
NOL8,Approved symbol,NOL8,nucleolar protein 8,HGNC:23387,9q22.31
NOL9,Approved symbol,NOL9,nucleolar protein 9,HGNC:26265,1p36.31
NOLC1,Approved symbol,NOLC1,nucleolar and coiled-body phosphoprotein 1,HGNC:15608,10q24.32
NOM1,Approved symbol,NOM1,nucleolar protein with MIF4G domain 1,HGNC:13244,7q36.3
NOMO1,Approved symbol,NOMO1,NODAL modulator 1,HGNC:30060,16p13.11
NOMO2,Approved symbol,NOMO2,NODAL modulator 2,HGNC:22652,16p12.3
NOMO3,Approved symbol,NOMO3,NODAL modulator 3,HGNC:25242,16p13.11
NONO,Approved symbol,NONO,non-POU domain containing octamer binding,HGNC:7871,Xq13.1
NOP10,Approved symbol,NOP10,NOP10 ribonucleoprotein,HGNC:14378,15q14
NOP14,Approved symbol,NOP14,NOP14 nucleolar protein,HGNC:16821,4p16.3
NOP16,Approved symbol,NOP16,NOP16 nucleolar protein,HGNC:26934,5q35.2
NOP2,Approved symbol,NOP2,NOP2 nucleolar protein,HGNC:7867,12p13.31
NOP56,Approved symbol,NOP56,NOP56 ribonucleoprotein,HGNC:15911,20p13
NOP58,Approved symbol,NOP58,NOP58 ribonucleoprotein,HGNC:29926,2q33.1
NOS1AP,Approved symbol,NOS1AP,nitric oxide synthase 1 adaptor protein,HGNC:16859,1q23.3
NOS1,Approved symbol,NOS1,nitric oxide synthase 1,HGNC:7872,12q24.22
NOS1,Synonyms,NANOS1,nanos C2HC-type zinc finger 1,HGNC:23044,10q26.11
NOS2,Approved symbol,NOS2,nitric oxide synthase 2,HGNC:7873,17q11.2
NOS2,Synonyms,NANOS2,nanos C2HC-type zinc finger 2,HGNC:23292,19q13.32
NOS3,Approved symbol,NOS3,nitric oxide synthase 3,HGNC:7876,7q36.1
NOS3,Synonyms,NANOS3,nanos C2HC-type zinc finger 3,HGNC:22048,19p13.13
NOSIP,Approved symbol,NOSIP,nitric oxide synthase interacting protein,HGNC:17946,19q13.33
NOSTRIN,Approved symbol,NOSTRIN,nitric oxide synthase trafficking,HGNC:20203,2q24.3
NOTCH1,Approved symbol,NOTCH1,notch 1,HGNC:7881,9q34.3
NOTCH2NL,Previous symbol,NOTCH2NLA,notch 2 N-terminal like A,HGNC:31862,1q21.1
NOTCH2,Approved symbol,NOTCH2,notch 2,HGNC:7882,1p12
NOTCH3,Approved symbol,NOTCH3,notch 3,HGNC:7883,19p13.12
NOTCH4,Approved symbol,NOTCH4,notch 4,HGNC:7884,6p21.32
NOTO,Approved symbol,NOTO,notochord homeobox,HGNC:31839,2p13.2
NOTUM,Approved symbol,NOTUM,"notum, palmitoleoyl-protein carboxylesterase",HGNC:27106,17q25.3
NOVA1,Approved symbol,NOVA1,NOVA alternative splicing regulator 1,HGNC:7886,14q12
NOVA2,Approved symbol,NOVA2,NOVA alternative splicing regulator 2,HGNC:7887,19q13.32
NOV,Previous symbol,CCN3,cellular communication network factor 3,HGNC:7885,8q24.12
NOV,Synonyms,RPL10,ribosomal protein L10,HGNC:10298,Xq28
NOV,Synonyms,PLXNA1,plexin A1,HGNC:9099,3q21.3
NOX1,Approved symbol,NOX1,NADPH oxidase 1,HGNC:7889,Xq22.1
NOX3,Approved symbol,NOX3,NADPH oxidase 3,HGNC:7890,6q25.3
NOX4,Approved symbol,NOX4,NADPH oxidase 4,HGNC:7891,11q14.3
NOX5,Approved symbol,NOX5,NADPH oxidase 5,HGNC:14874,15q23
NOXA1,Approved symbol,NOXA1,NADPH oxidase activator 1,HGNC:10668,9q34.3
NOXO1,Approved symbol,NOXO1,NADPH oxidase organizer 1,HGNC:19404,16p13.3
NPAS1,Approved symbol,NPAS1,neuronal PAS domain protein 1,HGNC:7894,19q13.32
NPAS2,Approved symbol,NPAS2,neuronal PAS domain protein 2,HGNC:7895,2q11.2
NPAS3,Approved symbol,NPAS3,neuronal PAS domain protein 3,HGNC:19311,14q13.1
NPAS4,Approved symbol,NPAS4,neuronal PAS domain protein 4,HGNC:18983,11q13.2
NPAT,Approved symbol,NPAT,"nuclear protein, coactivator of histone transcription",HGNC:7896,11q22.3
NPBWR1,Approved symbol,NPBWR1,neuropeptides B and W receptor 1,HGNC:4522,8q11.23
NPBWR2,Approved symbol,NPBWR2,neuropeptides B and W receptor 2,HGNC:4530,20q13.33
NPB,Approved symbol,NPB,neuropeptide B,HGNC:30099,17q25.3
NPC1L1,Approved symbol,NPC1L1,NPC1 like intracellular cholesterol transporter 1,HGNC:7898,7p13
NPC1,Approved symbol,NPC1,NPC intracellular cholesterol transporter 1,HGNC:7897,18q11.2
NPC2,Approved symbol,NPC2,NPC intracellular cholesterol transporter 2,HGNC:14537,14q24.3
NPDC1,Approved symbol,NPDC1,"neural proliferation, differentiation and control 1",HGNC:7899,9q34.3
NPEPL1,Approved symbol,NPEPL1,aminopeptidase like 1,HGNC:16244,20q13.32
NPEPPS,Approved symbol,NPEPPS,aminopeptidase puromycin sensitive,HGNC:7900,17q21.32
NPFFR1,Approved symbol,NPFFR1,neuropeptide FF receptor 1,HGNC:17425,10q22.1
NPFFR2,Approved symbol,NPFFR2,neuropeptide FF receptor 2,HGNC:4525,4q13.3
NPFF,Approved symbol,NPFF,neuropeptide FF-amide peptide precursor,HGNC:7901,12q13.13
NPHP1,Approved symbol,NPHP1,nephrocystin 1,HGNC:7905,2q13
NPHP3,Approved symbol,NPHP3,nephrocystin 3,HGNC:7907,3q22.1
NPHP4,Approved symbol,NPHP4,nephrocystin 4,HGNC:19104,1p36.31
NPHS1,Approved symbol,NPHS1,"NPHS1, nephrin",HGNC:7908,19q13.12
NPHS2,Approved symbol,NPHS2,"NPHS2, podocin",HGNC:13394,1q25.2
NPIPL3,Previous symbol,NPIPB3,nuclear pore complex interacting protein family member B3,HGNC:28989,16p12.2
NPIP,Previous symbol,NPIPA1,nuclear pore complex interacting protein family member A1,HGNC:7909,16p13.11
NPLOC4,Approved symbol,NPLOC4,"NPL4 homolog, ubiquitin recognition factor",HGNC:18261,17q25.3
NPL,Approved symbol,NPL,N-acetylneuraminate pyruvate lyase,HGNC:16781,1q25.3
NPM1,Approved symbol,NPM1,nucleophosmin 1,HGNC:7910,5q35.1
NPM2,Approved symbol,NPM2,nucleophosmin/nucleoplasmin 2,HGNC:7930,8p21.3
NPM3,Approved symbol,NPM3,nucleophosmin/nucleoplasmin 3,HGNC:7931,10q24.32
NPNT,Approved symbol,NPNT,nephronectin,HGNC:27405,4q24
NPPA,Approved symbol,NPPA,natriuretic peptide A,HGNC:7939,1p36.22
NPPB,Approved symbol,NPPB,natriuretic peptide B,HGNC:7940,1p36.22
NPPC,Approved symbol,NPPC,natriuretic peptide C,HGNC:7941,2q37.1
NPR1,Approved symbol,NPR1,natriuretic peptide receptor 1,HGNC:7943,1q21.3
NPR2,Approved symbol,NPR2,natriuretic peptide receptor 2,HGNC:7944,9p13.3
NPR2,Synonyms,NPRL2,"NPR2 like, GATOR1 complex subunit",HGNC:24969,3p21.31
NPR3,Approved symbol,NPR3,natriuretic peptide receptor 3,HGNC:7945,5p13.3
NPR3,Synonyms,NPRL3,"NPR3 like, GATOR1 complex subunit",HGNC:14124,16p13.3
NPRL2,Approved symbol,NPRL2,"NPR2 like, GATOR1 complex subunit",HGNC:24969,3p21.31
NPRL3,Approved symbol,NPRL3,"NPR3 like, GATOR1 complex subunit",HGNC:14124,16p13.3
NPSR1,Approved symbol,NPSR1,neuropeptide S receptor 1,HGNC:23631,7p14.3
NPS,Approved symbol,NPS,neuropeptide S,HGNC:33940,10q26.2
NPTN,Approved symbol,NPTN,neuroplastin,HGNC:17867,15q24.1
NPTX1,Approved symbol,NPTX1,neuronal pentraxin 1,HGNC:7952,17q25.3
NPTX2,Approved symbol,NPTX2,neuronal pentraxin 2,HGNC:7953,7q22.1
NPTXR,Approved symbol,NPTXR,neuronal pentraxin receptor,HGNC:7954,22q13.1
NPVF,Approved symbol,NPVF,neuropeptide VF precursor,HGNC:13782,7p15.3
NPW,Approved symbol,NPW,neuropeptide W,HGNC:30509,16p13.3
NPY1R,Approved symbol,NPY1R,neuropeptide Y receptor Y1,HGNC:7956,4q32.2
NPY2R,Approved symbol,NPY2R,neuropeptide Y receptor Y2,HGNC:7957,4q32.1
NPY5R,Approved symbol,NPY5R,neuropeptide Y receptor Y5,HGNC:7958,4q32.2
NPY6R,Approved symbol,NPY6R,neuropeptide Y receptor Y6 (pseudogene),HGNC:7959,5q31.2
NPY,Approved symbol,NPY,neuropeptide Y,HGNC:7955,7p15.3
NQO1,Approved symbol,NQO1,NAD(P)H quinone dehydrogenase 1,HGNC:2874,16q22.1
NQO2,Approved symbol,NQO2,N-ribosyldihydronicotinamide:quinone reductase 2,HGNC:7856,6p25.2
NR0B1,Approved symbol,NR0B1,nuclear receptor subfamily 0 group B member 1,HGNC:7960,Xp21.2
NR0B2,Approved symbol,NR0B2,nuclear receptor subfamily 0 group B member 2,HGNC:7961,1p36.11
NR1D1,Approved symbol,NR1D1,nuclear receptor subfamily 1 group D member 1,HGNC:7962,17q21.1
NR1D2,Approved symbol,NR1D2,nuclear receptor subfamily 1 group D member 2,HGNC:7963,3p24.2
NR1H2,Approved symbol,NR1H2,nuclear receptor subfamily 1 group H member 2,HGNC:7965,19q13.3
NR1H3,Approved symbol,NR1H3,nuclear receptor subfamily 1 group H member 3,HGNC:7966,11p11.2
NR1H4,Approved symbol,NR1H4,nuclear receptor subfamily 1 group H member 4,HGNC:7967,12q23.1
NR1I2,Approved symbol,NR1I2,nuclear receptor subfamily 1 group I member 2,HGNC:7968,3q13.33
NR1I3,Approved symbol,NR1I3,nuclear receptor subfamily 1 group I member 3,HGNC:7969,1q23.3
NR2C1,Approved symbol,NR2C1,nuclear receptor subfamily 2 group C member 1,HGNC:7971,12q22
NR2C2AP,Approved symbol,NR2C2AP,nuclear receptor 2C2 associated protein,HGNC:30763,19p13.11
NR2C2,Approved symbol,NR2C2,nuclear receptor subfamily 2 group C member 2,HGNC:7972,3p25.1
NR2E1,Approved symbol,NR2E1,nuclear receptor subfamily 2 group E member 1,HGNC:7973,6q21
NR2E3,Approved symbol,NR2E3,nuclear receptor subfamily 2 group E member 3,HGNC:7974,15q23
NR2F1,Approved symbol,NR2F1,nuclear receptor subfamily 2 group F member 1,HGNC:7975,5q15
NR2F2,Approved symbol,NR2F2,nuclear receptor subfamily 2 group F member 2,HGNC:7976,15q26.2
NR2F6,Approved symbol,NR2F6,nuclear receptor subfamily 2 group F member 6,HGNC:7977,19p13.11
NR3C1,Approved symbol,NR3C1,nuclear receptor subfamily 3 group C member 1,HGNC:7978,5q31.3
NR3C2,Approved symbol,NR3C2,nuclear receptor subfamily 3 group C member 2,HGNC:7979,4q31
